Recipient,Total,From Individuals,From Organization,Recipient Type,View
Buckeye Values PAC,1000000,1000000,0,Outside Group,Conservative
Republican National Cmte,50000,50000,0,Political Party,Republican
National Republican Congressional Cmte,10073,10073,0,Political Party,Republican
Republican Party of Harris County,10000,10000,0,Political Party,Republican
No Easy Day PAC,3400,3400,0,LeadPAC,Republican
"Haley, Nikki",5,5,0,Candidate (R-PRES),Republican
